Crops,EC 0-15,Temperature,Fertility,Saturation ,Soil Type
COTTON - 21,2.2,0.83,230,34,LOAM
COTTON - 21,8.42,0.78,200,38,LOAM
COTTON - 21,9.39,0.88,200,40,LOAM
COTTON - 21,10.37,0.92,230,36,LOAM
COTTON - 21,9.47,1.03,200,38,LOAM
COTTON - 21,5.86,0.83,210,40,LOAM
COTTON - 21,8.87,0.98,200,36,LOAM
COTTON - 21,2.4,0.67,210,38,LOAM
COTTON - 21,1.93,0.93,200,40,LOAM
COTTON - 21,1.95,0.8,240,38,LOAM
COTTON - 21,1.42,1.14,270,40,LOAM
COTTON - 21,1.42,1.03,250,38,LOAM
COTTON - 21,1.98,0.98,200,36,LOAM
COTTON - 21,2.87,0.93,190,38,LOAM
COTTON - 21,1.87,0.78,210,40,LOAM
COTTON - 21,1.48,1.03,140,38,LOAM
COTTON - 21,1.41,1.03,200,40,LOAM
COTTON - 21,1.18,0.93,190,38,LOAM
COTTON - 21,1.3,0.78,210,34,LOAM
COTTON - 21,1.2,0.91,260,36,LOAM
CARROT-5,1.28,0.91,260,40,LOAM
CARROT-5,1.48,1.26,160,34,LOAM
CARROT-5,1.39,0.84,120,36,LOAM
CARROT-5,1.31,0.98,160,38,LOAM
CARROT-5,1.34,0.7,180,40,LOAM
CARROT-5,1.32,1.05,120,36,LOAM
CARROT-5,1.26,1.05,140,38,LOAM
CARROT-5,1.34,0.91,140,38,LOAM
CARROT-5,1.25,0.91,120,40,LOAM
CARROT-5,1.84,0.7,200,36,LOAM
CARROT-5,1.45,0.91,120,38,LOAM
CARROT-5,1.76,1.05,100,40,LOAM
CARROT-5,1.42,0.84,140,40,LOAM
CARROT-5,1.46,0.91,120,38,LOAM
CARROT-5,1.26,0.7,140,38,LOAM
CARROT-5,1.35,0.98,160,36,LOAM
CARROT-5,2.06,0.84,140,40,LOAM
CARROT-5,2,0.84,250,36,LOAM
CARROT-5,1.35,0.7,160,38,LOAM
CARROT-5,2.18,0.91,160,38,LOAM
CARROT-5,2.4,0.98,180,40,LOAM
CARROT-5,1.72,1.05,180,36,LOAM
CARROT-5,1.16,0.98,160,36,LOAM
CARROT-5,1.3,0.7,160,40,LOAM
CARROT-5,1.05,0.77,140,40,LOAM
CARROT-5,1.31,0.98,200,38,LOAM
CARROT-5,1.15,1.19,210,40,LOAM
Cotton-27,3.57,0.91,200,38,LOAM
Cotton-27,1.44,0.98,80,40,LOAM
Sugarcan-11,2.52,1.05,160,34,LOAM
Wheet-11,14.27,1.05,240,36,LOAM
Wheet-11,13.71,1.19,180,38,LOAM
Wheet-11,13.04,0.84,160,36,LOAM
Wheet-11,2.16,1.12,160,36,LOAM
Wheet-11,1.82,1.19,280,36,LOAM
Wheet-11,1.71,1.19,300,33,LOAM
Cotton-,2.6,0.91,280,34,LOAM
Shugarcane-11,1.75,1.32,100,44,LOAM
RICE - 20,2.87,0.83,220,34,LOAM
RICE-32,4.38,0.72,130,38,LOAM
RICE-32,4.61,0.78,140,38,LOAM
RICE-32,4.45,0.67,140,36,LOAM
RICE-32,4.15,0.83,110,38,LOAM
WHEAT-20,2.18,0.72,100,38,LOAM
WHEAT-21,2.13,0.62,300,36,LOAM
WHEAT-21,1.98,0.83,230,36,LOAM
WHEAT-21,2.32,0.98,250,38,LOAM
WHEAT-21,2.3,0.93,320,36,LOAM
WHEAT-21,2.38,0.72,130,38,LOAM
WHEAT-21,2.37,0.78,190,38,LOAM
CHILLI-4,2.35,1.03,150,40,LOAM
Wheet -32,1.87,0.91,140,40,LOAM
Wheet -32,1.72,0.84,160,41,LOAM
Wheet -32,1.81,0.91,120,42,LOAM
Wheet -32,1.96,0.77,140,34,LOAM
Wheet -32,2.14,1.47,200,40,LOAM
Wheet -32,3.39,1.26,160,38,LOAM
Wheet -32,3.44,1.32,140,40,LOAM
Wheet -32,3.48,1.4,160,42,LOAM
Wheet -32,2.61,1.4,140,41,LOAM
Wheet -21,2.36,1.26,160,42,LOAM
Wheet -21,2.04,1.05,100,40,LOAM
Wheet -21,3.54,1.12,120,41,LOAM
Wheet -21,2.09,1.47,180,40,LOAM
Wheet -21,2.15,1.4,200,34,LOAM
Wheet -21,2.64,1.4,200,34,LOAM
Wheet -21,1.95,1.47,260,34,LOAM
Wheet -21,6.08,1.32,140,34,LOAM
TOMATO -12,2.09,0.72,130,36,LOAM
TOMATO -12,1.54,0.67,140,38,LOAM
TOMATO -12,1.9,0.62,180,36,LOAM
TOMATO -12,1.89,0.78,160,38,LOAM
TOMATO -12,1.93,0.62,230,34,LOAM
TOMATO -12,1.81,0.57,210,36,LOAM
TOMATO -12,2.1,0.67,200,38,LOAM
TOMATO -12,1.67,0.78,240,38,LOAM
COTTON - 21,1.87,0.98,180,38,LOAM
COTTON - 21,1.91,0.93,140,36,LOAM
COTTON - 21,1.89,0.88,190,34,LOAM
COTTON - 21,1.85,0.78,150,32,LOAM
COTTON - 21,1.88,1.03,170,32,LOAM
COTTON - 21,1.94,1.03,160,36,LOAM
COTTON - 21,1.79,0.98,170,34,LOAM
COTTON - 21,1.81,0.93,140,38,LOAM
COTTON - 21,1.86,0.72,110,36,LOAM
COTTON - 21,1.9,0.78,140,32,LOAM
COTTON - 21,1.95,0.88,170,38,LOAM
Wheet-11,2.45,0.35,280,38,LOAM
Wheet-11,2.04,0.98,200,40,LOAM
Wheet-11,2.39,0.84,220,38,LOAM
Wheet-11,2.65,0.98,320,34,LOAM
Wheet-11,12.91,0.77,280,34,LOAM
